1
T1M=3898V[2019-05-12 04:36:51.367]
T1M=3889V[2019-05-12 04:36:51.385]
T1M=3894V[2019-05-12 04:36:51.401]
T1M=3891V[2019-05-12 04:36:51.447]
T2M=3874V[2019-05-12 04:36:51.447]
T2M=3877V[2019-05-12 04:36:51.463]
T2M=3878V[2019-05-12 04:36:51.494]
T3M=3903V[2019-05-12 04:36:51.760]
T3M=3904V[2019-05-12 04:36:51.775]
T3M=3907V[2019-05-12 04:36:51.807]
T6M=3975V[2019-05-12 04:36:51.838]
T6M=3965V[2019-05-12 04:36:51.853]
T6M=3965V[2019-05-12 04:36:51.887]
T5M=3916V[2019-05-12 04:36:52.373]
T5M=3914V[2019-05-12 04:36:52.397]
T5M=3910V[2019-05-12 04:36:52.419]
1
